relation	from_node_type	from_node	to_node_type	to_node
父	テレパシー	アーニャ・フォージャー	スパイ	ロイド・フォージャー
母	テレパシー	アーニャ・フォージャー	暗殺者	ヨル・フォージャー
飼い犬	テレパシー	アーニャ・フォージャー	予知能力	ボンド・フォージャー
母の弟	テレパシー	アーニャ・フォージャー	特殊警察	ユーリ・ブライアン
もじゃもじゃ	テレパシー	アーニャ・フォージャー	情報屋	フランキー
怖い人	テレパシー	アーニャ・フォージャー	スパイ	フィオナ・フロスト
妻	スパイ	ロイド・フォージャー	暗殺者	ヨル・フォージャー
夫	暗殺者	ヨル・フォージャー	スパイ	ロイド・フォージャー
pet	スパイ	ロイド・フォージャー	予知能力	ボンド・フォージャー
pet	暗殺者	ヨル・フォージャー	予知能力	ボンド・フォージャー
シスコン	特殊警察	ユーリ・ブライアン	暗殺者	ヨル・フォージャー
恋慕	スパイ	フィオナ・フロスト	スパイ	ロイド・フォージャー
敵	特殊警察	ユーリ・ブライアン	スパイ	ロイド・フォージャー
恋敵	スパイ	フィオナ・フロスト	暗殺者	ヨル・フォージャー
仲間	情報屋	フランキー	スパイ	ロイド・フォージャー
